Brand Label Serial Number,Brand Label Name,License Type Code,License Class Code,License Class Description,Product Description,Wholesaler License Serial Number,Wholesaler Name,Domestic (D) or Imported (I),Brand Label Expiration Date
5103244,CARMEL MOSCATO DI CARMEL,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5103325,ZAKON MUSCATINI RED,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5103326,ZAKON MUSCATINI WHITE,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5103328,TAM PREE LIGHT BLUSH CONCORD,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5103329,TAM PREE LIGHT RED CONCORD,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5123458,NINE PIN,654,C,CIDER - NO FEE,CIDER,2194986,NINE PIN CIDERWORKS LLC,D,02/28/2018
5103330,TAM PREE LIGHT WHITE CONCORD,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5104052,ARBOR MIST ISLAND FRUITS PINOT GRIGIO,654,W,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5104260,MATUK KAL,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5104261,KALIL,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5105338,DOCS HARD PEAR FLAVORED CIDER,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5105456,CHATEAU RIVIERA MERLOT,654,W,WINE PRODUCT,WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,D,02/28/2018
5105497,ELECTRA RED,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,D,02/28/2018
5105498,ELECTRA,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,D,02/28/2018
5105906,CHATEAU DIANA PINOT GRIGIO,654,W,WINE PRODUCT,WINE PRODUCT,2184722,MANHATTAN BEER DISTRIBUTORS LLC,D,02/28/2018
5105907,CHATEAU DIANA WHITE ZINFANDEL,654,W,WINE PRODUCT,WINE PRODUCT,2184722,MANHATTAN BEER DISTRIBUTORS LLC,D,02/28/2018
5105908,CHATEAU DIANA CHARDONNAY,654,W,WINE PRODUCT,WINE PRODUCT,2184722,MANHATTAN BEER DISTRIBUTORS LLC,D,02/28/2018
5105909,CHATEAU DIANA CABERBET SAUVIGNON,654,W,WINE PRODUCT,WINE PRODUCT,2184722,MANHATTAN BEER DISTRIBUTORS LLC,D,02/28/2018
5105910,CHATEAU DIANA MERLOT,654,W,WINE PRODUCT,WINE PRODUCT,2184722,MANHATTAN BEER DISTRIBUTORS LLC,D,02/28/2018
5107333,SANGRIA LOLAILO,654,W,WINE PRODUCT,6 % WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,I,02/28/2018
5107597,ZINFUL WHITE ZINFANDEL,654,W,WINE PRODUCT,WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,D,02/28/2018
5107648,ARBOR MIST MIXED BERRY PINOT NOIR,654,W,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5108532,SERGIO GRIMALDI 2005 CA DU SINDIC,654,L,WINE - LOW ALCOHOL,MOSCATO D ASTI-LOW ALCOHOL WINE,1023862,USA WINE IMPORTS INC,I,02/28/2018
5108838,FARBRENGEN SYMPHONY,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5108839,FARBRENGEN LIGHT RED CONCORD,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5108840,FARBRENGEN MELODY,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5110455,ARBOR MIST WINTER BERRY MERLOT,654,W,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5110762,BLOODY BOLD BLOODY MARY MIX,654,W,WINE PRODUCT,WINE PRODUCT,2156791,EMPIRE MERCHANTS NORTH LLC,D,02/28/2018
5111353,SANGRIA LOLAILO WHITE,654,W,WINE PRODUCT,WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,I,02/28/2018
5111904,UMBERTO FIORE MOSCATO D'ASTI 2008,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1104391,SOUTHERN GLAZER'S WINE AND SPIRITS OF NEW YORK LLC,I,02/28/2018
5112687,VILLA M ROSSO MOSCATO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023862,USA WINE IMPORTS INC,I,02/28/2018
5112915,VILLA M MOSCATO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023862,USA WINE IMPORTS INC,I,02/28/2018
5113375,ARBOR MIST WHITE PEAR PINOT GRIGIO,654,W,WINE PRODUCT,WINE BASED WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5113682,FORZA,654,W,WINE PRODUCT,WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,D,02/28/2018
5113845,TENIMENTI CA' BIANCA MOSCATO D'ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5113879,GOSLINGS STORMY GINGER,654,S,WINE SPECIALTY,WINE SPECIALTY,1238435,CASTLE BRANDS USA CORP,D,02/28/2018
5114314,ZING ZANG BLOODY MARY MIX,654,S,WINE SPECIALTY,WINE SPECIALTY,2156791,EMPIRE MERCHANTS NORTH LLC,D,02/28/2018
5114541,BIAGIO MOSCATO D'ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287361,BIAGIO CRU & ESTATE WINE L L C,I,02/28/2018
5114609,MARLBOROUGH HILLS CHARDONNAY,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5114611,MARLBOROUGH HILLS CONCORD,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5114612,MARLBOROUGH HILLS ROSE,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5114794,PINOT NOIR POMEGRANATE BERRY,654,W,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5114820,TEAL LAKE MOSCATO D AUSSIE,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5114960,WOODCHUCK HARD CIDER 802,654,C,CIDER - NO FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5115009,MARTINI MOSCATO D ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,2138469,BACARDI USA INC,I,02/28/2018
5115010,TENIMENTI CA BIANCA BRACHETTO D AQUI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5115820,URBAN TAJ ROYAL JESTER BIRBET,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1219573,WINE OF INDIA WHOLESALE LLC,I,02/28/2018
5115880,WOODCHUCK HARD CIDER AMBER,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5116077,ZEBO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5116195,HARPOON CIDER,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5116289,ARBOR MIST MANGO STRAWBERRY MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5116521,MARLBOROUGH HILLS BLANC DE BLANC,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5116522,MARLBOROUGH HILLS SPARKLING ROSE,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5116735,BRANDINI MOSCATO D ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1276766,DARK STAR WINE LLC,I,02/28/2018
5117009,JUST PEACHY,654,W,WINE PRODUCT,WINE PRODUCT,1287361,BIAGIO CRU & ESTATE WINE L L C,I,02/28/2018
5117077,RUFFINO MOSCATO D ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,3141135,CONSTELLATION BRANDS INC,I,02/28/2018
5117128,FAMIGLIA PASQUA MOSCATO D ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1273743,MHW LTD,I,02/28/2018
5117355,ARBOR MIST FROZEN WINE PEAR PINOT GRIG,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5117356,ARBOR MIST FROZEN WINE BLACKBERRY MERL,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5117357,ARBOR MIST FROZEN WINE STRAW WHITE ZIN,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5117360,MARCHESI DI BAROLO ZAGARA 2010,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5117502,MARCHESI DI BAROLO GATIJ BRACH D ACQUI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5117582,RIVETTI MASSIMO MOSCATO D ASTI 2010,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,2148494,JOHN GIVEN WINES INC,I,02/28/2018
5117660,MAPLE MOON,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5117661,FOUR SCREW,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5117759,BAD SEED DRY HARD CIDER,654,C,CIDER - NO FEE,CIDER,2196543,BAD SEED CIDER COMPANY LLC,D,02/28/2018
5117760,BAD SEED IPC INDIA PALE CIDER,654,C,CIDER - NO FEE,CIDER,2196543,BAD SEED CIDER COMPANY LLC,D,02/28/2018
5117761,BAD SEED BLUEBERRY RESERVE,654,C,CIDER - NO FEE,CIDER,2196543,BAD SEED CIDER COMPANY LLC,D,02/28/2018
5117903,BAD SEED RASPBERRY RESERVE HARD,654,C,CIDER - NO FEE,CIDER,2196543,BAD SEED CIDER COMPANY LLC,D,02/28/2018
5117935,FRANCO AMOROSO MOSCATO D ASTI 2011,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1273743,MHW LTD,I,02/28/2018
5118047,RED BARN RASPBERRY,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5118048,BLISSFUL MOON,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5118383,POSSMAN FRANKFURTER APPLEWINE,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1185688,EMPIRE MERCHANTS LLC,I,02/28/2018
5118625,VENDAGE SWEET WHITE,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5118626,VENDAGE SWEET RED,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5118825,CHATEAU DIANA SPARKLING MOSCATO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,2184722,MANHATTAN BEER DISTRIBUTORS LLC,I,02/28/2018
5118898,SEMI SWEET ORGANIC OAK BARREL AGED,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5118959,HARPOON PUMPKIN CIDER,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5119036,ORCHARDISTS RESERVE,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5119110,ARBOR MIST FROZEN WINE MOSCATO MANGO,654,S,WINE SPECIALTY,STRAWBERRY WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5119111,FISSATA,654,S,WINE SPECIALTY,WINE SPECIALTY,3012978,DOYLE ACQUISITION CORPORATION,D,02/28/2018
5119137,BERA PIEMONTE BRACHETTO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1284083,WINEBOW INC,I,02/28/2018
5119194,MARLBOROUGH HILLS SWEET MOSCATO,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5119246,GLENORA POMEGRANATE PIZZAZZ,654,S,WINE SPECIALTY,WINE SPECIALTY,3155562,GLENORA WINE CELLARS INC,D,02/28/2018
5119370,BAD SEED BOURBON BARREL RESERVE,654,C,CIDER - NO FEE,CIDER,2196543,BAD SEED CIDER COMPANY LLC,D,02/28/2018
5119465,VENDAGE SWEET MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5119466,VENDAGE SWEET PINK MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5119492,AMERICAN SCRUMPY,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5119508,WOODCHUCK HARD PRIVATE RES BARR SELECT,654,C,CIDER - NO FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5119509,WOODCHUCK HARD CIDER RASPBERRY,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5119510,WOODCHUCK HARD CIDER PEAR,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5119511,WOODCHUCK HARD CIDER GRANNY SMITH,654,F,CIDER - FEE,CIDER,2011102,DE CRESCENTE DISTRIBUTING CO INC,D,02/28/2018
5119585,MYX FUSIONS MOSCATO,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5119586,MYX FUSIONS MOSCATO WITH PEACH,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5119614,ROSSO CASA ROSSA,654,L,WINE - LOW ALCOHOL,WINE,1270299,MILTON'S DISTRIBUTING CO INC,I,02/28/2018
5119684,BLUEBERRY MOON,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5119685,HERITAGE HOPS,654,C,CIDER - NO FEE,CIDER,2171195,CRITZ FARMS INC,D,02/28/2018
5119734,ARBOR MIST RASPBERRY PINK MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5119741,RICOSSA MOSCATO D ASTI DOC,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1273743,MHW LTD,I,02/28/2018
5119883,BARTENURA BRACHETTO SWEET RED,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5120330,MYX BEVERAGES MOSCATO WITH COCONUT,654,W,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5120350,ACE JOKER HARD CIDER,654,F,CIDER - FEE,CIDER,1010682,JRC BEVERAGE INC,D,02/28/2018
5120568,ARBOR MIST STRAWBERRY DAIQUIRI FROZEN,654,S,WINE SPECIALTY,COCKTAILS WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5120573,ARBOR MIST PINA COLADA FROZEN COCKTAIL,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5120574,ARBOR MIST LIME MARGARITA FROZEN,654,S,WINE SPECIALTY,COCKTAILS WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5120878,FONTANAFREDDA BRICCOTONDO MOSCATO,654,L,WINE - LOW ALCOHOL,D ASTI LOW ALCOHOL WINE,1016051,PALM BAY INTERNATIONAL INC,I,02/28/2018
5120945,DOCS DRAFT DRY HOPPED HARD APPLE CIDER,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5120946,DOCS DRAFT CRANBERRY SPICE HARD APPLE,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5121104,SWEET ORGANIC,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5121118,BLACK BIRD CLASSIC WOOD AGED,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5121369,SEAGRAMS ESCAPES CALYPSO COLADA,654,S,WINE SPECIALTY,WINE SPECIALTY,3150754,LABATT USA OPERATING CO LLC,D,02/28/2018
5121469,JEONJU RICE MAKGULI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023857,GOLDEN EAGLE TRADING CORP,I,02/28/2018
5121535,BLACK BIRD CIDER WORKS DRY ORGANIC,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5121568,WOLFFER ESTATE NO 139 DRY ROSE,654,F,CIDER - FEE,CIDER,1045819,WOLFFER ESTATE VINEYARD INC,D,02/28/2018
5121826,BANROCK STATION BELLINI PEACH,654,W,WINE PRODUCT,WINE PRODUCT,1104391,SOUTHERN GLAZER'S WINE AND SPIRITS OF NEW YORK LLC,I,02/28/2018
5121827,BANROCK STATION BELLINI STRAWBERRY,654,W,WINE PRODUCT,WINE PRODUCT,1104391,SOUTHERN GLAZER'S WINE AND SPIRITS OF NEW YORK LLC,I,02/28/2018
5121859,BLACK BIRD CIDER WORKS RED BARN,654,C,CIDER - NO FEE,CIDER,3152620,DONOVAN ORCHARDS LLC,D,02/28/2018
5122161,CENTORRI MOSCATO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1284083,WINEBOW INC,I,02/28/2018
5122222,RUBY DONNA MOSCATO PUGLIA,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1273743,MHW LTD,I,02/28/2018
5122252,MAGNERS IRISH CIDER,654,F,CIDER - FEE,CIDER,1270257,MANHATTAN BEER DISTRIBUTORS LLC,I,02/28/2018
5122267,DOCS DRAFT SOUR CHERRY HARD APPLE,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5122268,DOCS DRAFT BLACK CURRANT HARD CIDER,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5122269,DOCS DRAFT PUMPKIN HARD APPLE CIDER,654,C,CIDER - NO FEE,CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5122272,WOLFFER ESTATE NO 139 DRY WHITE,654,F,CIDER - FEE,CIDER,1045819,WOLFFER ESTATE VINEYARD INC,D,02/28/2018
5122491,ROSATELLO ROSE,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,3141135,CONSTELLATION BRANDS INC,I,02/28/2018
5122492,ROSATELLO MOSCATO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,3141135,CONSTELLATION BRANDS INC,I,02/28/2018
5122493,ROSATELLO ROSSO,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,3141135,CONSTELLATION BRANDS INC,I,02/28/2018
5122669,BADASS HARD APPLE CIDER,654,F,CIDER - FEE,CIDER,2010247,OAK BEVERAGES INC,D,02/28/2018
5122670,BADASS HARD PEAR CIDER,654,F,CIDER - FEE,CIDER,2010247,OAK BEVERAGES INC,D,02/28/2018
5122710,ARBOR MIST PEACH MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5122711,ARBOR MIST CHERRY RED MOSCATO,654,S,WINE SPECIALTY,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5123014,TORRE FORNELLO MALVASIA DOLCE,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1023875,FREDERICK WILDMAN & SONS LTD,I,02/28/2018
5123051,PITCHFORK,654,C,CIDER - NO FEE,CIDER,2191400,POUGHKEEPSIE SPIRIT WORKS INC,D,02/28/2018
5123204,VILLA JOLANDA MOSCATO & PEACH,654,L,WINE - LOW ALCOHOL,WINE - LOW ALCOHOL,1023854,MONSIEUR TOUTON SELECTION LTD,I,02/28/2018
5123205,VILLA JOLANDA MOSCATO & PINEAPPLE,654,L,WINE - LOW ALCOHOL,WINE - LOW ALCOHOL,1023854,MONSIEUR TOUTON SELECTION LTD,I,02/28/2018
5123206,VILLA JOLANDA MOSCATO & STRAWBERRY,654,L,WINE - LOW ALCOHOL,WINE - LOW ALCOHOL,1023854,MONSIEUR TOUTON SELECTION LTD,I,02/28/2018
5123207,VILLA JOLANDA MOSCATO & COCONUT,654,L,WINE - LOW ALCOHOL,WINE - LOW ALCOHOL,1023854,MONSIEUR TOUTON SELECTION LTD,I,02/28/2018
5123208,VILLA JOLANDA MOSCATO D'ASTI,654,L,WINE - LOW ALCOHOL,WINE - LOW ALCOHOL,1023854,MONSIEUR TOUTON SELECTION LTD,I,02/28/2018
5123543,MCKENZIES HAND PRESSED GREEN APPLE,654,F,CIDER - FEE,CIDER,3150559,MCKENZIES BEVERAGES INC,D,02/28/2018
5124256,MCKENZIES HAND PRESSED ORIGINAL HARD,654,F,CIDER - FEE,CIDER,3150559,MCKENZIES BEVERAGES INC,D,02/28/2018
5124257,MCKENZIES HAND PRESSED LAZY LEMON HARD,654,F,CIDER - FEE,CIDER,3150559,MCKENZIES BEVERAGES INC,D,02/28/2018
5124258,MCKENZIES HAND PRESSED SEASONAL RESERV,654,F,CIDER - FEE,CIDER,3150559,MCKENZIES BEVERAGES INC,D,02/28/2018
5124259,MCKENZIES HAND PRESSED BLACK CHERRY,654,F,CIDER - FEE,HARD CIDER,3150559,MCKENZIES BEVERAGES INC,D,02/28/2018
